"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
18,4,"tool",0,0,"tools","t_244.png",244,"tbd",41.6424013409782,NA,NA,0.895492985876775,0,"1",NA,"4",NA
19,1,"tool",0,1,"tools","t_285.png",285,"tbd",44.6612477821523,NA,NA,0.673999282748683,0,"1",NA,"1",NA
20,4,"animal",0,0,"tools","a_040.png",40,"tbd",47.1629151216433,NA,NA,0.502328695166975,0,"2",NA,"4",NA
21,3,"tool",0,1,"tools","t_210.png",210,"tbd",49.7982358473481,NA,NA,0.808886618088107,0,"1",NA,"4",NA
22,1,"animal",0,1,"tools","a_126.png",126,"tbd",52.5003664714698,NA,NA,0.573417223314111,0,"1",NA,"1",NA
23,4,"tool",0,0,"tools","t_185.png",185,"tbd",55.3858375718517,NA,NA,0.574951201136927,0,"2",NA,"1",NA
24,3,"animal",0,1,"tools","a_044.png",44,"tbd",57.8543154939878,NA,NA,0.240552907997336,0,"2",NA,"1",NA
25,4,"animal",0,0,"tools","a_081.png",81,"tbd",60.7729237615782,NA,NA,0.514854937285025,0,"1",NA,"4",NA
26,2,"animal",0,1,"tools","a_083.png",83,"tbd",64.2757533558122,NA,NA,0.450546610204967,0,"1",NA,"4",NA
27,1,"tool",0,1,"tools","t_299.png",299,"tbd",66.4104296630456,NA,NA,0.962371002778435,0,"2",NA,"1",NA
28,4,"animal",0,0,"tools","a_027.png",27,"tbd",69.2292631660882,NA,NA,0.728337932741397,0,"2",NA,"4",NA
29,1,"tool",0,1,"tools","t_352.png",352,"tbd",71.8813639640848,NA,NA,0.450794314409977,0,"2",NA,"4",NA
30,4,"animal",0,0,"tools","a_155.png",155,"tbd",75.1337869091146,NA,NA,0.0578414242616242,0,"1",NA,"1",NA
31,2,"animal",0,1,"tools","a_165.png",165,"tbd",77.2186361705525,NA,NA,0.0281400470849075,0,"2",NA,"1",NA
32,1,"animal",0,1,"tools","a_051.png",51,"tbd",79.9703260584698,NA,NA,0.861072990881349,0,"1",NA,"1",NA
33,4,"tool",0,0,"tools","t_217.png",217,"tbd",82.2887316079329,NA,NA,0.16900843299842,0,"2",NA,"4",NA
34,2,"tool",0,1,"tools","t_349.png",349,"tbd",83.9901074040479,NA,NA,0.713825951564366,0,"1",NA,"4",NA
35,2,"animal",0,1,"tools","a_058.png",58,"tbd",86.1248835463823,NA,NA,0.823493758245551,0,"1",NA,"4",NA
36,4,"animal",0,0,"tools","a_159.png",159,"tbd",88.3265237033566,NA,NA,0.442392064533179,0,"1",NA,"1",NA
37,4,"tool",0,0,"tools","t_359.png",359,"tbd",90.6782505395916,NA,NA,0.828685191544251,0,"2",NA,"4",NA
38,4,"animal",0,0,"tools","a_025.png",25,"tbd",93.0299332120124,NA,NA,0.447239144784079,0,"2",NA,"4",NA
39,3,"tool",0,1,"tools","t_298.png",298,"tbd",95.0313959050969,NA,NA,0.692198049507978,0,"1",NA,"4",NA
40,2,"animal",0,1,"tools","a_056.png",56,"tbd",97.166479017041,NA,NA,0.20489263469039,0,"1",NA,"1",NA
41,3,"animal",0,1,"tools","a_035.png",35,"tbd",98.8676343050979,NA,NA,0.679754302675444,0,"2",NA,"1",NA
42,4,"animal",0,0,"tools","a_145.png",145,"tbd",101.419593654484,NA,NA,0.756792772346603,0,"2",NA,"4",NA
43,3,"tool",0,1,"tools","t_306.png",306,"tbd",103.721209490259,NA,NA,0.435126050144664,0,"1",NA,"4",NA
44,2,"tool",0,1,"tools","t_219.png",219,"tbd",105.922862087745,NA,NA,0.0691394325225541,0,"1",NA,"1",NA
45,2,"tool",0,1,"tools","t_335.png",335,"tbd",107.540757700661,NA,NA,0.0368637306223318,0,"1",NA,"4",NA
